Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
prod. fernan2D;fernando2d;2022-09-14 00:38:40+00:00;@milhouselucas @geloscringe @vinicius_kinast @Ravena_Krane e o luva de pedreiro ainda reclamava;0;0;0
Jonas;Jonas10245715;2022-09-14 00:37:58+00:00;Aqui ja vimos q o nosso luva de pedreiro já não tava bem 😥 #luvadepedreiro https://t.co/6dHEyh2AuU;0;0;0
september is suicide season!;KonoFaelDa;2022-09-14 00:37:22+00:00;@cabrunco4000 Ai que medo do casimiro e o luva de pedreiro morrerem num acidente envolvendo um caminhão tanque na br 381 😨😨😨;0;7;0
𝕮𝖆𝖒𝖎𝖑𝖆;__lvmx;2022-09-14 00:37:20+00:00;luva de pedreiro anunciando fim da carreira só mostra o quão o ser humano pode ser cruel, cara tá abrindo mão dos sonhos, por causa de julgamentos alheios;0;0;0
Erick Candeias;e_candeias;2022-09-14 00:34:30+00:00;Hoje eu vi a notícia sobre o fim da carreira do Luva de Pedreiro. De alguma maneira fiquei feliz. Feliz porque com o que ele já fez e com orientação terá uma vida mais doce daqui pra frente.;0;1;0
JornalRio;JornalRio1;2022-09-14 00:33:57+00:00;Parei! Luva de Pedreiro desiste de seguir carreira https://t.co/3lJAW0JWQb;1;0;0
alejandro sofredor 🇾🇪;alejandro223851;2022-09-14 00:33:20+00:00;@_chi_naski ALLAN JESUS EU NUNCA QUIS SABER DE OUTRAS MEU FOCO SEMPRE FOI VC ALLAN JESUS O LUVA DE PEDREIRO TA TRISTE PFV VOLTA PRA MIM ME PEGO CHORANDO TODAS AS NOITES PENSANDO NA GENTE PFV ALLAN JESUS TENHA DÓ DE MIM;0;0;0
🐓⭐⭐;teodoromkt;2022-09-14 00:33:14+00:00;"As pessoas perplexas que um tal, Luva de pedreiro, abandonou a profissão. 
Eu: que profissão?
É inacreditável que as pessoas ganhem grana sendo idiotas na Internet.";0;0;0
Shaft Flu Balboa;SHAFTFLU;2022-09-14 00:33:11+00:00;E os filhos da puta invejosos de merda conseguiram afastar o Luva de pedreiro. Não existe povo mais FDP, no Brasil é crime vc ganhar dinheiro, mesmo que seja honestamente.;0;0;0
Basilio 🇧🇷;ildeubasilio;2022-09-14 00:32:50+00:00;GOSSIP DO ZUZU: SABATINA DE LULA COM WAACK FEZ LUVA DE PEDREIRO TER MEDO... https://t.co/d9GDNUDP8T via @YouTube;0;0;0
ramos;washingtonclr;2022-09-14 00:32:43+00:00;Olhando essa treta toda envolvendo o Luva de Pedreiro só mostra o quanto é insuportável ser famoso. É autógrafo, foto toda hora, reunião, exposição na mídia.. independente de todo dinheiro q possa ganhar, isso não é vida!;0;1;0
JP;JhonyFerreiraP;2022-09-14 00:32:39+00:00;@forumpandlr Luva de pedreiro fazendo escola?;0;0;0
it's not my fault;alisson_almd;2022-09-14 00:32:24+00:00;Alguém tem dúvida que a fama e o sucesso bagunçam a cabeça de qualquer um. Olha aí o caso do luva de pedreiro, mlq tem um talento, teve a chance de explorar e diz que vai largar tudo;0;1;0
fela;fknfela;2022-09-14 00:32:12+00:00;@fvernon prato do luva de pedreiro no paris 6;0;1;0
Â n g e l o 🇫🇷;angelo_amoraa;2022-09-14 00:31:58+00:00;Se nem o Luva de pedreiro tankou 2022 e desistiu de tudo, pq eu tenho que aguentar;0;2;0
Mr. Dipirona;matt_s1lva;2022-09-14 00:31:56+00:00;"Luva de Pedreiro - Não tem título 
Ana Maria Braga - Simone Tablet
Xaropinho - Bolsonaro
Andre Marques - Bolsonaro 
Luciano Huck - Ciro
Toguro - Bolsonaro 
Manoel Caneta Azul - Bolsonaro 
Rei Charles III - Bolsonaro
Rogério Flausino - Ciro
Tite - Lula https://t.co/X5zOx76w1S";0;0;0
Willian Serafim;DRsemdoutorado_;2022-09-14 00:31:10+00:00;"@naosalvo Luva de Pedreiro - Lula
Ana Maria Braga - Tebet
Xaropinho - Bolsonaro
Andre Marques - isentão (Bolsonaro)
Luciano Huck - Felipe Davila
Toguro - Lula
Manoel Caneta Azul - Bolsonaro 
Rei Charles III - Brexit
Rogério Flausino - Ciro
Tite - Lula";0;0;0
Miguel Martins;migueImartins04;2022-09-14 00:30:58+00:00;"luva de pedreiro falou que vai aposentar pq tá cansando da rotina 
rotina: gravar um vídeo de 30 segundos por dia jogando bola";0;1;0
reboredo o fudido;reborekxzz;2022-09-14 00:30:47+00:00;F luva de pedreiro;0;0;0
João Victor;koeTardin;2022-09-14 00:30:39+00:00;luva de pedreiro vai ter que fazer enem agora;0;1;0
Washington Gomes;woxigomes;2022-09-14 00:29:47+00:00;@CleitonCw @JoaquinTeixeira @luvadepedreiro Ele é Baiano de uma Cidade chamada Quijingue;0;0;0
Rodrigo Lima ★彡;DrigoLima_;2022-09-14 00:29:35+00:00;@geglobo Cansado ? Ele tem q virar pedreiro pra fazer jus a sua Luva… depois ele me diz o que é cansaço de verdade;0;1;0
evan;evanzslx;2022-09-14 00:29:24+00:00;"luva de pedreiro para com isso viado
vai dormir que amanhã é outro dia";0;0;0
Bruna Pimenta | tá tudo bem podcast 🎙️✨;bruolipimenta;2022-09-14 00:29:10+00:00;Triste em ver a decisão do Luva de Pedreiro, trabalhar nesse mercado de criação de conteúdo é extremamente exaustivo e suga demais as pessoas, espero que ele esteja bem assistido psicologicamente e se direcione para o melhor caminho.;0;5;0
Ã Tunes Estrada;guigzman;2022-09-14 00:29:09+00:00;"A mídia eh implacável, fizeram com o Luva de Pedreiro e vão fazer com o Bill. 

A mente dos caras não são trabalhadas para isso rapaziada!!!

Acham que estão salvando uma vida mas estão fudendo!!!";0;0;0
sleaze;bebeulli;2022-09-14 00:29:03+00:00;minha mãe é fã número um do luva de pedreiro,é mole?;0;0;0
É hexaaaaa é hexaaaaaa;bemdita69;2022-09-14 00:28:56+00:00;@forumpandlr Ah pronto, o luva de pedreiro tá lançando moda então?;0;0;0
shaolin matadô de porco;o_auje;2022-09-14 00:28:41+00:00;luva de pedreiro apagou todos os videos e falou que vai parar de ser influencer..... vem ai A FAZENDA;0;0;0
Rafael de Araújo;rafael96br;2022-09-14 00:28:30+00:00;Esse luva de pedreiro tá cheio de graça;0;1;0
Joyce Silva;eusoulindabjo;2022-09-14 00:27:52+00:00;@oisaac_anderson @luvadepedreiro Acho que ele tá jogando oportunidade que caiu do céu no lixo... acho que ele deve tirar um tempo e voltar ele não atingiu um valor financeiro pra aposentar ele e a família. Eu particularmente jamais abandonaria uma oportunidade de dar uma vida boa pro meus pais;0;0;0
⭐𝕊𝕠𝕝 𝕃𝕠𝕡𝕖𝕤⭐;sol_slopes;2022-09-14 00:26:51+00:00;@IvanadosReis4 @luvadepedreiro Estrutura nenhuma, e deve ter tomado muito tombo.;0;1;0
🙄🎗;mac_8219;2022-09-14 00:26:21+00:00;Falcão se manifesta após Luva de Pedreiro abandonar a carreira https://t.co/96j9udWcFR;0;0;0
Lulonardo;leoalvescrf;2022-09-14 00:26:11+00:00;Se essa história do luva de pedreiro parar a carreira de influencer n for marketing pra algum bagulho gigante a caminho eu sou uma charrete rosa;0;1;0
O Augusto;oaugustooo;2022-09-14 00:26:04+00:00;o luva de pedreiro é uma falha na matrix;0;1;0
Portal Agita;portal_agita;2022-09-14 00:25:16+00:00;Luva de Pedreiro exclui publicações do Instagram e anuncia fim da carreira - https://t.co/W4aJNA25sA;0;1;1
meu repente é brasileiro;sickmundvs;2022-09-14 00:25:14+00:00;@RedBullBR Pensei que era o luva de pedreiro;0;0;0
Joyce Silva;eusoulindabjo;2022-09-14 00:24:23+00:00;Espero que o #luvadepedreiro repense a decisão dele... ninguém falou que seria fácil...espero que el descanse a mente e volte produzir conteúdo. Dinheiro não compra felicidade, mas anusa família, paga conta e tira da miséria.;0;0;0
🇲🇽;igxrddc;2022-09-14 00:23:52+00:00;luva de pedreiro ta precisando de umas noites cariocas;0;0;0
O Putífero / LULA2022;MadsonQuaresma;2022-09-14 00:23:43+00:00;Se for vdd, essa parada do Luva de Pedreiro é muito forte.;0;0;0
Mateus Maia;maiateeus;2022-09-14 00:23:40+00:00;Com o acontecido do Luva de pedreiro se aposentar, só me lembro de uma coisa, tudo que vem fácil, vai fácil.;0;0;0
isabela;lewistrong;2022-09-14 00:23:23+00:00;finalmente alguém pegando no pé dessa chata. não aguentava mais o povo só enchendo o saco do coitado do luva de pedreiro https://t.co/A947BR9Uxv;0;3;1
gb;gbb_mesquita;2022-09-14 00:23:14+00:00;Luva de pedreiro cansado pq chuta uma bola pro gol e grita receba e ganha 80 salários mínimos coitado rapaziada;0;0;0
DIOGO THE GGOAT 🪬;DIOGO_SLIME;2022-09-14 00:23:02+00:00;Luva de Pedreiro parece que teve uma crise de saúde mental 😟;0;0;0
adirada aracu;nanersau;2022-09-14 00:22:15+00:00;até hoje não sei quem/o que é bil ou luva de pedreiro 🙏🏻 https://t.co/INmJrZdCZ9;0;6;0
BNews;bnews_oficial;2022-09-14 00:22:13+00:00;"Problema de saúde e excesso de trabalho fizeram Luva de Pedreiro desistir de carreira
https://t.co/kSU0afVoJK";0;1;0
Luis 🇧🇷;luisclaudiopg26;2022-09-14 00:21:57+00:00;Nós te entendemos luva de pedreiro, fica em paz, sua vida mudou da água pro vinho em um pequeno intervalo de tempo. É muita coisa pra absorver. Fica em paz, nós te entendemos.;0;1;0
