Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Leo Avelar ¹³;leoavelargalo13;2022-11-22 01:17:45+00:00;Bora escalar um time ofensivo Tite. O mundo da bola precisa voltar a tremer pro Brasil;0;0;0
CRUZEIRO MIL GRAAU;cruzeiromilgraa;2022-11-22 01:17:29+00:00;Sinceramente, loucura o Tite não ter levado o melhor centroavante do futebol brasileiro po https://t.co/F8xCxWNDMG;0;0;0
Ryanzinho;Ryanlelis1;2022-11-22 01:17:26+00:00;Cacete mane, o tite vai com tudo mesmo em, gosto demais desse time;0;0;0
Lobato;neliolobatoo;2022-11-22 01:17:21+00:00;@paisoltaram Pô, se for isso mesmo, empolga, mas eu duvido muito que o Tite use essa formação inicial em um jogo enjoado assim, mas espero estar errado e ser essa formação mesmo!;0;0;0
Geovanio Silva;ge_dassilva;2022-11-22 01:17:20+00:00;@povotime1910 @geglobo Conversa pra boi dormir, o Tite é o cara, só vai tirar umas férias depois da copa e volta pra casa, me cobrem 😅;0;0;0
Gabriel;jjoaogabriel_;2022-11-22 01:16:59+00:00;@jonatas300613 @HeyAlviVerde Ainda bem que quem convoca os jogadores é Tite e não você pq vc é um palhaço;0;0;0
potock;potocksx;2022-11-22 01:16:51+00:00;BOTA O PAU NELES TITE https://t.co/bVREOZc5rT;0;0;0
Vitor;vitorrodr1gues;2022-11-22 01:16:47+00:00;@zzmunizzz @LeonardoHawk @gremiosincero_ @futebol_info @geglobo Com essa escalação o Tite quer resolver o jogo logo no primeiro tempo.;0;2;0
Snax1909🏹🇳🇬;Snax27836360;2022-11-22 01:16:40+00:00;@tncleft1776 Sim, Eu acredito que o tite deve colocar  esse time ofensivo por conta que o Brasil tem que furar essa linha de 5 meias e 3 zagueiros da Sérvia, o problema é a recomposição né, contra gana eles jogaram Assim e quando ficavam sem a bola todo mundo voltava pra marcar......;0;1;0
costa🏹;__Gabriel_Costa;2022-11-22 01:16:35+00:00;O TITE VEM SEM MEDO!! https://t.co/jQcdEtPcM6;0;0;0
Avocado 100% copalizado;CaioConce__;2022-11-22 01:16:14+00:00;Faltando só o Bruno Guimarães no lugar do Paquetá pro Tite chegar na escalação perfeita. https://t.co/cKibbtUaYj;0;0;0
